scheduled_iso,host,fault_class,duration_seconds,parameters
2026-05-15T06:14:05+00:00,cnsm-web-04,cpu_spike,1136,cpu=2 load=95
2026-05-15T10:22:09+00:00,cnsm-mem-01,disk_io,1021,io=2 hdd=2
2026-05-15T12:05:13+00:00,cnsm-web-03,disk_io,547,io=8 hdd=8
2026-05-15T15:24:28+00:00,cnsm-db-redis-02,disk_io,844,io=8 hdd=8
2026-05-15T15:54:55+00:00,cnsm-db-redis-01,memory_pressure,1668,vm_bytes=8G
2026-05-15T16:45:21+00:00,cnsm-web-01,disk_io,372,io=8 hdd=8
2026-05-15T19:44:51+00:00,cnsm-io-01,disk_io,924,io=8 hdd=8
2026-05-15T21:18:04+00:00,cnsm-db-redis-02,disk_io,523,io=8 hdd=8
2026-05-15T21:38:24+00:00,cnsm-io-01,disk_io,308,io=8 hdd=8
2026-05-16T09:16:41+00:00,cnsm-mem-01,memory_pressure,1509,vm_bytes=2G
2026-05-16T10:44:41+00:00,cnsm-io-01,process_leak,311,fork=2
2026-05-16T11:45:44+00:00,cnsm-web-04,network_latency,1779,delay=100ms
2026-05-16T13:47:42+00:00,cnsm-db-redis-02,memory_pressure,1668,vm_bytes=8G
2026-05-16T13:56:17+00:00,cnsm-io-01,cpu_spike,554,cpu=1 load=90
2026-05-16T15:56:42+00:00,cnsm-db-redis-02,disk_io,814,io=8 hdd=8
2026-05-16T19:40:15+00:00,cnsm-web-06,memory_pressure,2483,vm_bytes=1G
2026-05-16T21:23:02+00:00,cnsm-web-01,disk_io,414,io=4 hdd=4
2026-05-17T07:50:59+00:00,cnsm-web-05,disk_io,641,io=2 hdd=2
2026-05-17T08:54:55+00:00,cnsm-web-02,network_latency,394,delay=100ms
2026-05-17T09:45:23+00:00,cnsm-web-02,memory_pressure,1334,vm_bytes=4G
2026-05-17T12:16:10+00:00,cnsm-web-04,cpu_spike,487,cpu=1 load=95
2026-05-17T13:10:33+00:00,cnsm-web-06,cpu_spike,1547,cpu=4 load=95
2026-05-17T13:11:40+00:00,cnsm-mem-01,cpu_spike,483,cpu=2 load=95
2026-05-17T14:08:45+00:00,cnsm-db-postgres-01,cpu_spike,1149,cpu=1 load=90
2026-05-17T16:41:37+00:00,cnsm-mem-01,disk_io,411,io=8 hdd=8
2026-05-17T18:16:43+00:00,cnsm-db-redis-01,disk_io,1136,io=2 hdd=2
2026-05-17T18:17:22+00:00,cnsm-web-05,cpu_spike,316,cpu=4 load=95
2026-05-17T21:01:58+00:00,cnsm-db-redis-02,process_leak,579,fork=4
2026-05-18T06:05:22+00:00,cnsm-db-postgres-02,cpu_spike,393,cpu=4 load=95
2026-05-18T09:05:14+00:00,cnsm-db-postgres-01,network_latency,558,delay=50ms
