scheduled_iso,host,fault_class,duration_seconds,parameters
2026-05-28T12:50:00+00:00,cnsm-gpu-01,gpu_compute_stress,300,matrix_size=8192
2026-05-28T13:05:00+00:00,cnsm-gpu-01,pcie_bandwidth_sat,300,transfer_mb=512
2026-05-28T13:20:00+00:00,cnsm-gpu-01,network_degradation,300,delay=100ms
2026-05-28T13:35:00+00:00,cnsm-gpu-01,vram_pressure,300,fraction=0.95
2026-05-28T13:50:00+00:00,cnsm-gpu-01,cuda_process_kill,120,
2026-05-29T08:00:00+00:00,cnsm-gpu-01,gpu_compute_stress,600,matrix_size=8192
2026-05-29T08:25:00+00:00,cnsm-gpu-01,pcie_bandwidth_sat,600,transfer_mb=1024
2026-05-29T08:50:00+00:00,cnsm-gpu-01,network_degradation,900,delay=200ms
2026-05-29T09:15:00+00:00,cnsm-gpu-01,vram_pressure,600,fraction=0.90
2026-05-29T09:40:00+00:00,cnsm-gpu-01,cuda_process_kill,180,
